c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,6,4,0.829,31.5,5,2.0538,53.844,2668.7,34943,0.44407,0.13567,2.3686,41.51,43951,1.3526e+11,0.049237,0.064988,79.326,33.526,17.751,145.79,7.9686,7.7744e-05,50919
3,6,5,0.999,19.2,5,1.3467,36.733,1731.4,20240,0.37575,0.11071,0.93538,21.422,16797,5.9218e+10,0.033076,0.046379,70.836,28.116,12.81,125.35,3.5375,6.8964e-05,26496
3,6,6,1.16,2.46,5,0.97643,26.384,1278.3,14605,0.3205,0.092759,0.49848,12.677,9123.5,3.5941e+10,0.026366,0.036334,61.722,23.908,10.27,106.77,2.1462,5.8188e-05,17238
3,6,7,1.29,6.16,5,0.78197,20.367,1021.9,13095,0.28653,0.085996,0.31981,8.449,5906.9,2.8597e+10,0.021508,0.0326,57.606,22.231,9.2075,98.729,1.5333,5.1702e-05,12091
3,7,2,0.541,122,5,8.2688,205.24,11075,1.425e+05,1.0777,0.33454,37.21,369.98,7.3787e+05,1.5846e+12,0.20512,0.23616,137.64,78.241,62.847,371.03,61.49,0.0001632,4.2329e+05
3,7,3,0.667,54.4,5,4.0955,99.702,5380.5,69226,0.66687,0.21862,10.361,105.39,1.9693e+05,4.6086e+11,0.10087,0.13499,103.37,50.885,33.277,237.07,23.054,0.00010297,1.5433e+05
3,7,4,0.87,37,5,1.6577,46.666,2154.1,28578,0.36747,0.11776,1.8398,33.586,35155,1.0403e+11,0.039916,0.054927,69.897,29.425,15.01,126.6,6.0504,5.9249e-05,43391
3,7,5,1.05,7.63,5,1.0189,29.309,1317.2,16392,0.30528,0.090202,0.64752,15.162,12081,4.2305e+10,0.026208,0.037086,61.615,24.04,10.291,102.42,2.4592,5.452e-05,19984
3,7,6,1.23,27.5,5,0.7644,21.523,987.47,11939,0.26442,0.081333,0.34488,9.9185,6446.8,2.5647e+10,0.019859,0.031471,55.827,21.421,8.7258,87.888,1.4063,4.9626e-05,12814
3,7,7,1.41,4.67,5,0.57925,15.429,753.1,8466.1,0.23364,0.075881,0.21511,5.9049,3974.2,1.5189e+10,0.01671,0.029751,51.635,19.855,7.9512,76.772,0.92745,4.3554e-05,8650.3
3,8,2,0.584,123,5,5.0335,136.92,6671.6,80849,0.73116,0.25254,15.263,169.01,2.8958e+05,5.4072e+11,0.11472,0.16488,120.04,59.903,41.999,251.59,32.96,0.0001187,2.0499e+05
3,8,3,0.661,79.9,5,3.8169,99.652,5066.4,68096,0.62351,0.21701,9.3093,107.16,1.7613e+05,4.0727e+11,0.089889,0.13227,102.57,49.753,32.912,214.11,22.162,0.00010745,1.399e+05
3,8,4,0.831,35.1,5,1.9636,53.873,2534.5,33326,0.4276,0.13371,2.3253,40.105,42156,1.2828e+11,0.047064,0.063075,78.266,32.954,17.243,136.05,7.4548,7.7626e-05,48210
3,8,5,0.982,47.2,5,1.3375,37.845,1714.9,20628,0.34121,0.10533,1.0717,23.499,19498,6.3025e+10,0.032418,0.0448,67.105,26.839,12.579,116.12,3.9788,6.2373e-05,27859
3,8,6,1.15,12.8,5,0.97602,26.346,1253,14046,0.31382,0.092619,0.49061,13.018,8868.5,3.409e+10,0.024873,0.035952,63.126,24.339,10.156,109.55,2.0804,5.835e-05,16417
3,8,7,1.27,38.6,5,0.76581,21.519,991,11346,0.2737,0.083752,0.3094,9.1816,5666,2.3714e+10,0.019917,0.031015,58.47,22.212,8.934,91.572,1.3772,5.1855e-05,11595
4,1,2,0.628,94.8,5,5.8106,183.27,7527.8,97160,0.72025,0.23806,22.498,361.91,4.0157e+05,8.9356e+11,0.13095,0.15304,109.64,55.433,41.238,262.7,35.899,0.00010838,2.4929e+05
4,1,3,0.73,53.9,5,4.1823,130.36,5449.5,73762,0.608,0.19667,11.92,217.03,2.1324e+05,5.6512e+11,0.099232,0.1151,94.401,45.383,30.253,218.12,22.486,9.1471e-05,1.5503e+05
4,1,4,0.894,21,5,2.4992,79.293,3218.2,42746,0.46707,0.13348,3.7275,97.206,65941,2.3381e+11,0.061584,0.065739,76.114,32.654,17.916,167.51,9.3368,7.5152e-05,67274
4,1,5,1.03,28.5,5,1.7242,59.023,2204.5,27584,0.40318,0.11305,1.6289,61.293,28378,1.1381e+11,0.044617,0.047726,68.695,27.811,13.319,142.1,4.6578,6.9306e-05,38319
4,1,6,1.2,9.57,5,1.2048,36.304,1542.5,19964,0.3302,0.093027,0.81761,28.33,14421,6.8903e+10,0.031942,0.036714,59.243,23.269,10.275,119.65,2.6498,5.6289e-05,23729
4,1,7,1.38,6.3,5,0.98344,30.156,1255.2,16090,0.29162,0.083297,0.53013,20.869,9494.1,4.7832e+10,0.026493,0.030803,55.453,21.262,8.8137,100.83,1.7952,5.1329e-05,16807
4,2,2,0.562,295,5,11.613,330.42,15242,2.1697e+05,1.1931,0.34856,80.654,985.56,1.5145e+06,3.6807e+12,0.26368,0.25559,143.29,83.165,75.325,392.8,87.341,0.00019465,6.8597e+05
4,2,3,0.637,146,5,6.5517,180.04,8625.2,1.192e+05,0.79141,0.25705,28.875,346.2,5.4164e+05,1.2493e+12,0.14577,0.1733,111.88,58.324,45.28,270.49,40.636,0.00013076,3.1725e+05
4,2,4,0.831,91.4,5,3.2297,97.262,4171.3,50874,0.53148,0.17175,6.5162,126.89,1.2048e+05,3.223e+11,0.073905,0.093552,87.097,39.317,23.456,187.16,13.052,8.9986e-05,1.0413e+05
4,2,5,0.951,95.2,5,2.2755,65.426,2875.1,38548,0.42465,0.13303,3.3711,68.296,62168,2.0355e+11,0.051927,0.067396,72.858,31.159,16.695,145.58,6.9949,7.4464e-05,65094
4,2,6,1.23,24.4,5,1.1263,33.846,1440.8,19831,0.3062,0.087707,0.79869,24.634,14433,6.8202e+10,0.027855,0.0364,56.679,22.133,9.7233,99.113,2.2764,5.7948e-05,21978
