c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,1,7,1.43,2.6,9,0.55308,16.767,709.29,9519.4,0.24552,0.078532,0.20064,7.1964,3605.6,1.7193e+10,0.020367,0.03262,51.762,20.098,7.9972,80.701,0.98661,3.9356e-05,7606
3,2,2,0.574,174,9,6.024,166.62,8016.1,1.0662e+05,0.94036,0.28905,21.227,240,4.0302e+05,8.3765e+11,0.1546,0.19842,132.94,68.315,49.989,305.27,43.035,0.00014919,2.5193e+05
3,2,3,0.65,121,9,3.8995,102.81,5111.1,67377,0.67906,0.2135,10.187,118.19,1.9249e+05,4.2808e+11,0.10081,0.13563,103.21,49.954,33.099,219.51,23.291,0.00010285,1.4364e+05
3,2,4,0.848,59.5,9,1.9886,57.062,2571.5,34685,0.45987,0.13748,2.5895,46.316,47889,1.4246e+11,0.053697,0.072075,78.425,33.873,18.032,150.32,8.4166,7.0407e-05,51221
3,2,5,0.991,70.8,9,1.2594,37.188,1618.7,21710,0.38372,0.10681,0.96582,23.912,17440,6.7019e+10,0.038403,0.045833,68.371,27.341,12.385,126.67,3.7253,5.8648e-05,24511
3,2,6,1.17,42.5,9,0.82879,24.145,1062.7,13717,0.30524,0.08719,0.42131,13.369,7607.3,3.1449e+10,0.026051,0.03613,58.413,22.679,9.4077,97.122,1.7812,4.9499e-05,13392
3,2,7,1.38,29.7,9,0.62253,17.885,800.02,11065,0.26788,0.081021,0.25791,7.8674,4582.2,2.2038e+10,0.020767,0.032911,54.542,21.012,8.4112,82.257,1.0579,4.661e-05,9067.3
3,3,2,0.577,147,9,6.1747,109.68,8455.2,1.1123e+05,1.0961,0.30916,22.634,114.93,4.9199e+05,9.8116e+11,0.23558,0.22152,123.77,68.828,47.919,387.21,35.865,0.00014051,3.3236e+05
3,3,3,0.69,67.6,9,3.9218,73.437,5347.1,71899,0.85394,0.24283,9.4136,61.063,2.02e+05,4.9084e+11,0.16182,0.16243,103,53.429,33.196,308.28,18.558,0.00010489,1.7081e+05
3,3,4,0.876,29.8,9,2.0322,43.508,2764.3,36505,0.58692,0.15999,2.5393,26.625,53131,1.6182e+11,0.091133,0.089484,80.053,36.629,19.42,215.94,6.8134,7.3863e-05,62962
