"","minfunc","minfunc_num","variable","expo","rsquared","buff"
"387","actstate",5,13,1,0.48,"mj"
"388","actstate",5,14,1,0.545,"mj"
"389","actstate",5,15,1,0.562,"mj"
"390","actstate",5,16,1,0.357,"mj"
"391","actstate",5,17,1,0.574,"mj"
"392","actstate2",6,1,1,0.395,"mj"
"393","actstate2",6,2,1,0.41,"mj"
"394","actstate2",6,3,1,0.346,"mj"
"395","actstate2",6,4,1,0.309,"mj"
"396","actstate2",6,5,1,0.4,"mj"
"397","actstate2",6,6,1,0.402,"mj"
"398","actstate2",6,7,1,0.417,"mj"
"399","actstate2",6,8,1,0.365,"mj"
"400","actstate2",6,9,1,0.34,"mj"
"401","actstate2",6,10,1,0.326,"mj"
"402","actstate2",6,11,1,0.501,"mj"
"403","actstate2",6,12,1,0.561,"mj"
"404","actstate2",6,13,1,0.498,"mj"
"405","actstate2",6,14,1,0.557,"mj"
"406","actstate2",6,15,1,0.57,"mj"
"407","actstate2",6,16,1,0.336,"mj"
"408","actstate2",6,17,1,0.571,"mj"
"409","drive",7,1,1,0.395,"mj"
"410","drive",7,2,1,0.41,"mj"
"411","drive",7,3,1,0.346,"mj"
"412","drive",7,4,1,0.309,"mj"
"413","drive",7,5,1,0.401,"mj"
"414","drive",7,6,1,0.408,"mj"
"415","drive",7,7,1,0.41,"mj"
"416","drive",7,8,1,0.356,"mj"
"417","drive",7,9,1,0.334,"mj"
"418","drive",7,10,1,0.324,"mj"
"419","drive",7,11,1,0.373,"mj"
"420","drive",7,12,1,0.421,"mj"
"421","drive",7,13,1,0.427,"mj"
"422","drive",7,14,1,0.47,"mj"
"423","drive",7,15,1,0.522,"mj"
"424","drive",7,16,1,0.335,"mj"
"425","drive",7,17,1,0.579,"mj"
"426","drive2",8,1,1,0.395,"mj"
"427","drive2",8,2,1,0.41,"mj"
"428","drive2",8,3,1,0.346,"mj"
"429","drive2",8,4,1,0.309,"mj"
"430","drive2",8,5,1,0.399,"mj"
"431","drive2",8,6,1,0.403,"mj"
"432","drive2",8,7,1,0.416,"mj"
"433","drive2",8,8,1,0.365,"mj"
"434","drive2",8,9,1,0.348,"mj"
"435","drive2",8,10,1,0.346,"mj"
"436","drive2",8,11,1,0.492,"mj"
"437","drive2",8,12,1,0.548,"mj"
"438","drive2",8,13,1,0.492,"mj"
"439","drive2",8,14,1,0.549,"mj"
"440","drive2",8,15,1,0.565,"mj"
"441","drive2",8,16,1,0.338,"mj"
"442","drive2",8,17,1,0.574,"mj"
"443","umberger",9,1,1,0.395,"mj"
"444","umberger",9,2,1,0.41,"mj"
"445","umberger",9,3,1,0.346,"mj"
"446","umberger",9,4,1,0.309,"mj"
"447","umberger",9,5,1,0.399,"mj"
"448","umberger",9,6,1,0.403,"mj"
"449","umberger",9,7,1,0.417,"mj"
"450","umberger",9,8,1,0.366,"mj"
"451","umberger",9,9,1,0.344,"mj"
"452","umberger",9,10,1,0.337,"mj"
"453","umberger",9,11,1,0.478,"mj"
"454","umberger",9,12,1,0.541,"mj"
"455","umberger",9,13,1,0.474,"mj"
"456","umberger",9,14,1,0.539,"mj"
"457","umberger",9,15,1,0.559,"mj"
"458","umberger",9,16,1,0.34,"mj"
"459","umberger",9,17,1,0.574,"mj"
