c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumumber
1,6,1,0.542,73.4,8,1.4476,16.168,1858.5,23251,0.67252,0.24276,65.407
1,6,2,0.597,69.4,8,1.1052,12.435,1415,18194,0.54963,0.19916,54.663
1,6,3,0.681,50.2,8,0.76621,8.2623,970.39,11275,0.42629,0.15238,44.507
1,6,4,0.826,19,8,0.38357,4.5439,481.23,5728.7,0.26816,0.08695,29.25
1,6,5,1.01,11.5,8,0.23665,2.927,296.6,3180.8,0.21101,0.065746,24.121
1,6,6,1.16,13.3,8,0.16418,2.1333,206.58,2497.1,0.17853,0.05723,21.629
1,7,1,0.511,88.9,8,1.4156,16.664,1822.7,21578,0.66709,0.23693,64.693
1,7,2,0.568,67.6,8,1.1016,12.14,1407.8,15088,0.56041,0.20405,56.877
1,7,3,0.68,55.1,8,0.66801,6.8151,847.32,9130.8,0.42024,0.14748,43.847
1,7,4,0.87,20,8,0.29463,3.3036,370.41,4144.5,0.23466,0.07836,26.148
1,7,5,1.04,39.2,8,0.17028,2.0843,214.72,2720.3,0.17903,0.056397,21.107
1,7,6,1.23,11.4,8,0.11935,1.4998,149.38,1817.5,0.14811,0.050421,18.673
1,8,1,0.5,171,8,1.1702,14.642,1506.3,18158,0.5782,0.21426,59.9
1,8,2,0.547,104,8,1.0206,12.412,1311.2,15556,0.52153,0.19448,54.274
1,8,3,0.659,40.9,8,0.64742,7.3314,819.66,8916.7,0.38451,0.14086,41.855
1,8,4,0.822,29,8,0.33055,4.0434,417.85,4412.3,0.24692,0.08564,28.794
1,8,5,0.938,46.9,8,0.24622,3.0638,309.06,3000.4,0.21828,0.068827,25.343
1,8,6,1.14,41,8,0.15032,1.9853,189.55,1913.7,0.17656,0.05823,22.052
2,1,2,0.6,69.5,8,2.8301,47.365,3632,42164,0.74343,0.26227,68.265
2,1,3,0.658,42.1,8,2.3055,38.723,2947.5,31633,0.65006,0.22519,60.237
2,1,4,0.85,23,8,1.0761,20.73,1365,14356,0.37445,0.12762,37.636
2,1,5,1.01,11.5,8,0.60662,11.69,769.76,8723.8,0.29585,0.091966,30.758
2,1,6,1.23,14.1,8,0.38061,7.45,483.83,5583.9,0.23998,0.074451,26.013
2,2,2,0.565,135,8,3.5199,60.805,4550.5,47407,0.89735,0.30307,78.514
2,2,3,0.642,84.7,8,2.3198,38.93,2983.8,32439,0.65467,0.22165,58.455
2,2,4,0.836,45.1,8,1.0781,18.546,1372.2,14899,0.40017,0.1297,38.256
2,2,5,1.02,45.5,8,0.66623,11.285,847.82,9622.6,0.31715,0.099908,31.248
2,2,6,1.21,44.8,8,0.42571,7.6915,541.16,6864.2,0.26066,0.075846,25.955
2,2,7,1.4,29.7,8,0.33265,5.8045,423.69,5103.1,0.24198,0.081078,26.831
2,3,2,0.583,76.2,8,3.6034,39.022,4658.5,51155,1.0893,0.30204,74.663
2,3,3,0.695,40.3,8,2.4625,25.562,3168.7,34401,0.87887,0.24624,61.871
2,3,4,0.872,78.7,8,1.2838,14.197,1642.4,16323,0.61526,0.16551,45.092
2,3,5,1.03,15.6,8,0.69551,8.4648,888.59,10330,0.43388,0.11016,32.871
2,3,6,1.22,0.115,8,0.44421,5.2608,565.17,7452.3,0.35397,0.088041,27.292
2,3,7,1.39,25,8,0.37577,4.6567,481.23,5641.7,0.35983,0.09195,28.365
2,4,2,0.632,44.7,8,2.5031,39.257,3215.5,34581,0.72674,0.25456,65.832
2,4,3,0.711,35.2,8,2.0183,31.718,2581,26536,0.64096,0.2176,58.221
2,4,4,0.879,17.2,8,0.9064,16.047,1152.7,13381,0.35903,0.11782,35.269
2,4,5,1.08,8.87,8,0.55292,10.261,704.82,8266.9,0.27688,0.086071,28.146
