c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,5,3,0.693,97.9,9,2.9649,60.975,3831.6,53306,0.43473,0.1257,6.7325,42.712,1.2483e+05,2.6919e+11,0.074089,0.075972,36.247,22.966,20.961,160.48,15.006,5.7178e-05,1.0288e+05
3,5,4,0.895,72.5,9,1.7093,35.695,2196.5,29828,0.32465,0.089361,2.3227,19.309,42873,1.1089e+11,0.044782,0.043881,29.736,16.022,12.463,120.14,6.0756,4.4415e-05,46844
3,5,5,1.08,49,9,1.2461,26.109,1605.9,20181,0.28568,0.073744,1.1738,11.842,21543,6.2535e+10,0.034338,0.031641,27.701,13.564,9.5014,104.73,3.6225,4.0342e-05,28585
3,5,6,1.25,57,9,0.86124,18.023,1104.5,13760,0.23581,0.056189,0.5662,6.8838,10432,3.4995e+10,0.024794,0.019671,24.697,10.946,6.7298,86.992,2.0638,3.4138e-05,16990
3,5,7,1.46,54.1,9,0.66653,13.89,854.13,10232,0.2085,0.047619,0.33895,4.6448,6263.6,2.2667e+10,0.019845,0.014831,23.266,9.724,5.4512,77.002,1.3899,3.0731e-05,11826
3,6,2,0.635,54.1,9,3.6091,83.869,4666.9,58584,0.47389,0.14419,9.5434,70.887,1.7101e+05,3.0602e+11,0.081508,0.092048,41.185,27.018,26.552,174.92,22.583,6.2905e-05,1.2567e+05
3,6,3,0.702,27.9,9,2.9731,68.538,3825.4,49906,0.42529,0.12827,6.5497,51.944,1.1714e+05,2.399e+11,0.067877,0.076316,38.113,23.479,21.63,157.37,16.017,5.7858e-05,95761
3,6,4,0.829,31.5,9,2.0941,48.729,2677.9,34149,0.35195,0.10272,3.3264,31.262,59359,1.3508e+11,0.048757,0.053414,33.414,18.507,15.339,131.13,8.9249,4.8915e-05,57843
3,6,5,0.999,19.2,9,1.4661,34.473,1873.4,21607,0.30371,0.083321,1.5431,18.165,27549,6.83e+10,0.035382,0.035713,31.457,15.359,11.099,112.59,4.8935,4.4635e-05,33552
3,6,6,1.16,2.46,9,1.0798,25.316,1377.8,16120,0.25549,0.06657,0.86027,11.652,15343,4.4482e+10,0.026876,0.024951,28.092,12.736,8.3613,94.349,3.0748,3.8542e-05,21875
3,6,7,1.29,6.16,9,0.88641,20.892,1132.4,14383,0.23385,0.05876,0.56937,8.7471,10140,3.635e+10,0.022622,0.020059,26.893,11.636,7.0892,85.989,2.321,3.5625e-05,16084
3,7,2,0.541,122,9,4.6226,105.9,6001.2,73154,0.5442,0.16387,15.652,97.519,2.8494e+05,4.1884e+11,0.10514,0.11685,45.102,32.283,33.589,198.56,32.782,7.0683e-05,1.8962e+05
3,7,3,0.667,54.4,9,3.2293,72.254,4157.8,49928,0.44954,0.13438,7.6807,54.456,1.393e+05,2.4226e+11,0.074897,0.082273,39.089,24.853,23.13,166.3,17.542,6.0391e-05,1.1257e+05
3,7,4,0.87,37,9,1.7695,40.161,2260.7,28735,0.31669,0.091154,2.5589,23.491,46247,1.0704e+11,0.042486,0.045792,30.463,16.491,13.01,117.74,6.7596,4.4535e-05,49086
3,7,5,1.05,7.63,9,1.2267,28.148,1566.4,19068,0.27067,0.072894,1.1612,13.547,20935,5.6582e+10,0.030768,0.029877,28.318,13.591,9.405,100.22,3.7125,3.9673e-05,27803
3,7,6,1.23,27.5,9,0.90451,20.553,1153.2,13983,0.23238,0.058278,0.63283,8.4017,11452,3.5673e+10,0.023432,0.020724,25.836,11.43,7.0973,85.865,2.2931,3.4975e-05,18130
