c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumtorquerate,sumwork,sumworkrate,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumtorquerate2,sumwork2,sumworkrate2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,2,7,1.38,29.7,5,0.57128,6.5943,0.14164,0.896,17.1,766.96,12342,0.17162,0.0633,0.39694,27.722,0.014488,0.65609,7.2417,7454.5,2.9662e+10,0.014363,0.032215,22.959,11.133,7.2568,63.844,1.7483,2.5862e-05,9709.4
3,3,2,0.577,147,5,5.3899,70.924,4.1067,36.39,101.35,7641,1.1631e+05,0.66599,0.18583,24.124,1986,11.251,862.55,98.426,5.4675e+05,1.1618e+12,0.17426,0.15602,46.757,39.283,40.8,250.52,49.252,7.6911e-05,3.0565e+05
3,3,3,0.69,67.6,5,3.6918,41.54,2.3128,17.102,70.736,5191,76218,0.54314,0.16126,11.142,677.01,3.5164,188.32,56.639,2.5052e+05,6.163e+11,0.11778,0.11866,40.054,30.371,28.326,194.67,25.641,5.9575e-05,1.7112e+05
3,3,4,0.876,29.8,5,2.0428,19.975,0.87346,4.9237,42.191,2863.6,40424,0.38563,0.11208,3.38,170.2,0.45077,15.436,25.082,74892,2.1942e+11,0.060501,0.068213,31.827,19.802,16.164,140.47,9.7848,4.5553e-05,69334
3,3,5,1.07,38.6,5,1.1203,11.251,0.33963,1.8805,23.728,1551.9,22296,0.27012,0.08202,1.245,67.67,0.076498,2.7269,10.736,26735,8.2611e+10,0.032989,0.043504,25.904,14.28,10.153,102.69,3.9242,3.3028e-05,30220
3,3,6,1.25,5.01,5,0.75558,7.8986,0.17834,1.0089,16.138,1044.3,14577,0.22431,0.071526,0.60951,37.145,0.021037,0.78269,5.8179,13202,4.0366e+10,0.02334,0.037605,24.21,12.623,8.2829,87.962,2.0794,2.7859e-05,17657
3,3,7,1.43,3.8,5,0.59254,6.9197,0.11522,0.74288,13.502,814.52,11231,0.19934,0.071076,0.39281,29.663,0.0087343,0.42583,4.5952,8401.6,2.7046e+10,0.019158,0.036766,24.38,12.428,7.7721,75.731,1.34,2.6065e-05,12528
3,4,2,0.629,28.4,5,4.0363,49.818,3.4554,27.737,114.93,5593.8,85244,0.47423,0.16094,14.997,1082.2,9.0102,565.02,146.1,2.9204e+05,6.6948e+11,0.088323,0.12159,41.686,31.56,34.717,174.83,40.25,6.9652e-05,1.7026e+05
3,4,3,0.69,20.1,5,3.3785,37.724,2.5025,17.999,92.68,4617.7,65993,0.44426,0.14804,9.6774,578.4,4.2853,215.75,96.539,1.8657e+05,4.4952e+11,0.074389,0.10031,39.237,27.405,28.389,162.95,28.699,5.5471e-05,1.253e+05
3,4,4,0.864,4.21,5,1.7538,17.136,0.84344,4.6315,51.055,2371,34890,0.3209,0.099408,2.7077,131.51,0.44126,13.851,38.527,51824,1.5794e+11,0.0411,0.057183,30,17.263,14.761,120.17,9.4717,4.1863e-05,47867
3,4,5,1.07,-1.15,5,1.0322,10.324,0.3649,1.9974,31.554,1377.9,20178,0.24268,0.075579,1.0513,55.376,0.085829,2.8518,17.641,19772,6.3613e+10,0.024995,0.038787,25.817,13.13,9.7742,95.797,4.1909,3.1582e-05,22569
3,4,6,1.32,17.8,5,0.57823,6.513,0.14964,0.93395,17.612,784.34,11766,0.17994,0.064808,0.39629,27.378,0.016696,0.75854,7.5257,7468.6,2.6593e+10,0.01496,0.031981,23.728,11.423,7.4174,69.569,1.9164,2.4726e-05,9770.7
3,4,7,1.48,12.8,5,0.47756,5.6786,0.11036,0.73867,14.3,651.98,8693.5,0.16653,0.059996,0.29214,23.097,0.0093718,0.53047,5.4607,5526.9,1.7493e+10,0.012856,0.028792,22.691,10.696,6.647,66.213,1.3994,2.2942e-05,7764.1
3,5,2,0.586,180,5,5.5709,72.614,4.912,43.017,137.21,7785.2,1.2464e+05,0.59947,0.17956,27.521,2174.2,18.11,1330.4,187.73,5.6192e+05,1.3165e+12,0.13312,0.15051,46.078,37.896,42.679,211.45,53.44,7.5467e-05,2.8659e+05
3,5,3,0.693,97.9,5,3.7589,43.09,2.592,19.16,86.164,5176.5,83425,0.49777,0.15322,12.27,744.11,4.7354,244.44,85.938,2.4554e+05,6.7999e+11,0.093691,0.11359,38.702,28.766,28.787,169.56,27.837,6.4735e-05,1.5481e+05
3,5,4,0.895,72.5,5,1.7179,17.061,0.72695,4.0219,40.147,2327.1,35056,0.33503,0.095898,2.7507,134.98,0.34339,10.865,25.206,53179,1.5937e+11,0.045311,0.056632,28.253,16.667,13.806,123.05,8.1947,4.3463e-05,48292
3,5,5,1.08,49,5,1.1552,11.599,0.37872,2.1393,26.929,1565.6,21616,0.2879,0.08194,1.3076,72.226,0.092545,3.3782,13.537,25515,7.5672e+10,0.033471,0.046109,26.06,14.418,10.593,114.92,4.4379,3.5145e-05,27571
3,5,6,1.25,57,5,0.68016,7.4789,0.16984,1.0452,17.545,928.83,13303,0.20375,0.069809,0.55061,35.587,0.020525,0.85614,6.7544,10576,3.3935e+10,0.019338,0.035731,23.785,12.179,8.1044,76.583,2.0864,2.7792e-05,13472
