c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,2,3,0.616,54,5,0.65688,16.892,858.61,12186,0.23311,0.094843,0.42553,3.4163,6201.2,1.7802e+10,0.016976,0.040067,87.122,33.139,12.837,82.393,5.2562,3.6594e-05,5306.9
1,2,4,0.821,31.5,5,0.32031,11.061,421.72,6069.5,0.14788,0.054272,0.10339,2.3709,1639.8,5.8404e+09,0.0084662,0.01923,61.682,21.812,6.6706,53.367,1.6605,2.3618e-05,1870.6
1,2,5,1.05,42.1,5,0.18718,6.8534,243.99,3133,0.1053,0.040406,0.039262,1.1891,618.98,2.0054e+09,0.0050794,0.013346,51.233,17.713,4.6467,36.686,0.68291,1.692e-05,811.93
1,2,6,1.17,55.5,5,0.12576,4.4173,163.56,2320.4,0.079951,0.031987,0.019815,0.4755,301.46,1.3453e+09,0.0032925,0.0098541,43.874,14.82,3.5986,28.274,0.35827,1.3407e-05,491.65
1,2,7,1.35,37.2,5,0.11158,4.1977,149.13,1836.9,0.078989,0.031759,0.013826,0.61631,283.98,9.5104e+08,0.0029634,0.0095011,42.349,14.223,3.4602,27.078,0.28408,1.395e-05,357.43
1,3,2,0.558,65,5,1.3066,25.898,1729.9,22577,0.35457,0.16345,1.5783,8.7755,24808,5.7611e+10,0.030821,0.084069,102.01,44.892,22.036,115.5,10.099,5.3887e-05,14571
1,3,3,0.665,13.2,5,0.83211,15.218,1091.1,13648,0.27645,0.11641,0.61785,3.2786,9705.1,2.6175e+10,0.020288,0.048954,85.492,34.563,14.555,93.408,5.1438,4.1617e-05,7066.7
1,3,4,0.85,20.6,5,0.37435,10.277,485.65,5923.5,0.16268,0.06472,0.12984,2.3707,2044.7,6.2241e+09,0.0091736,0.023111,61.166,22.452,7.5791,51.56,1.5094,2.639e-05,2228.5
1,3,5,1.1,8.07,5,0.18157,3.8662,232.18,3097.2,0.10264,0.038364,0.031025,0.37148,487.49,2.1412e+09,0.0040499,0.011595,46.881,16.03,4.2771,33.807,0.45949,1.7854e-05,751.02
1,3,6,1.28,3.42,5,0.14463,2.831,181.3,2526.4,0.086706,0.035266,0.017345,0.22219,270.66,1.6743e+09,0.0029295,0.010018,42.829,14.628,3.7276,28.439,0.27511,1.599e-05,507.68
1,4,2,0.624,58.3,5,0.68198,17.134,907.39,10856,0.26046,0.11035,0.4294,3.8139,6562.9,1.5482e+10,0.018397,0.048032,89.657,35.16,14.579,94.709,5.9108,4.026e-05,5915.1
1,4,3,0.733,14.2,5,0.39289,11.464,521.62,6258.8,0.17938,0.068936,0.13903,2.1333,2235.4,5.7653e+09,0.010387,0.02448,71.886,25.912,8.5603,66.437,2.4852,2.6613e-05,2555.1
1,4,4,0.851,13.4,5,0.23801,7.6867,307.02,3840.8,0.1299,0.048189,0.04854,1.0962,743.02,2.6221e+09,0.0063157,0.015697,62.826,21.584,5.7733,45.892,1.128,2.0233e-05,1209.8
1,4,5,1.09,22.5,5,0.13404,4.2852,175.18,2130.4,0.090478,0.03199,0.015151,0.46637,246.71,1.0185e+09,0.0034288,0.0091666,49.976,16.578,3.6457,31.187,0.43067,1.451e-05,487.52
1,4,6,1.29,3.84,5,0.097527,3.4334,129.1,1478,0.074763,0.029672,0.0093305,0.37269,162.28,5.8805e+08,0.0026079,0.0084274,44.128,14.671,3.2729,25.592,0.2618,1.2781e-05,330.82
1,5,1,0.529,141,5,1.3989,26.598,1851.2,26021,0.37572,0.16291,1.9189,8.4734,28819,7.3808e+10,0.032884,0.086332,103.25,45.524,23.577,121.08,12.79,6.1798e-05,15046
1,5,2,0.591,125,5,1.1141,23.738,1467.8,20485,0.32144,0.14131,1.1551,6.9032,17246,4.9407e+10,0.024311,0.069817,93.665,39.705,19.373,102.76,9.0336,5.3947e-05,10631
1,5,3,0.669,56.5,5,0.68497,16.338,900.88,11910,0.2304,0.096053,0.47607,3.8109,7225,1.9143e+10,0.014917,0.04167,76.402,30.122,12.63,75.626,4.9206,3.8328e-05,5529.8
1,5,4,0.862,56.1,5,0.30354,9.3829,391.44,5277,0.13923,0.054704,0.086008,1.8763,1305.8,4.8397e+09,0.0071548,0.019534,56.339,20.116,6.5375,41.949,1.2957,2.3853e-05,1696.8
1,5,5,1.03,61.9,5,0.1902,5.5071,247.03,2910.9,0.11152,0.043716,0.032429,0.73444,512.15,1.7961e+09,0.0042686,0.01374,50.353,17.401,4.924,36.705,0.57782,2.0023e-05,799.52
1,5,6,1.25,41.7,5,0.14094,4.0515,181.34,2302.1,0.097911,0.037246,0.015727,0.5088,244.2,1.2265e+09,0.0036996,0.012002,44.509,15.266,4.0978,31.103,0.31135,1.7536e-05,509.1
1,6,1,0.542,73.4,5,1.3149,28.668,1737.5,25571,0.37737,0.16348,1.4854,8.8257,21995,6.8916e+10,0.032203,0.080765,104.57,45.592,23.098,136.87,12.368,5.9796e-05,13529
1,6,2,0.597,69.4,5,0.92828,21.334,1229.1,18224,0.30074,0.12607,0.84667,5.5072,12407,3.6958e+10,0.023223,0.058554,88.181,36.655,17.154,107.25,7.9946,4.7449e-05,8444.5
1,6,3,0.681,50.2,5,0.59802,15.397,779.96,10789,0.21527,0.084846,0.34954,3.4186,5114,1.5524e+10,0.014694,0.035057,75.396,28.779,11.223,75.168,4.3041,3.2003e-05,4472.3
1,6,4,0.826,19,5,0.30638,9.4395,396.8,5355.4,0.1486,0.055334,0.087213,1.7065,1308.7,4.5346e+09,0.007593,0.018971,61.095,21.58,6.6461,55.267,1.4636,2.2624e-05,1712.7
1,6,5,1.01,11.5,5,0.19741,5.9656,251.67,2996.6,0.11243,0.039439,0.034048,0.72971,495.96,1.9005e+09,0.004614,0.012017,53.706,18.139,4.5761,38.295,0.66917,1.9335e-05,853.86
1,6,6,1.16,13.3,5,0.15008,5.4344,195.86,2437,0.10043,0.036597,0.019899,0.82677,346.28,1.3186e+09,0.0037324,0.011089,48.154,16.266,4.0862,33.222,0.42369,1.7664e-05,536.2
1,7,1,0.511,88.9,5,1.1808,27.111,1573.2,22040,0.36233,0.16055,1.1848,7.2364,17988,4.8841e+10,0.028864,0.078803,108.87,46.712,22.329,131.43,10.905,5.7775e-05,11910
1,7,2,0.568,67.6,5,0.84217,19.196,1112.6,14518,0.27875,0.12498,0.62495,4.1601,9371.8,2.5353e+10,0.019102,0.054395,97.321,38.921,16.787,99.942,7.0275,4.2685e-05,7207.9
1,7,3,0.68,55.1,5,0.49556,10.953,644.6,8711.9,0.18904,0.079997,0.23417,1.6925,3535.2,1.1384e+10,0.010576,0.029173,74.578,27.816,10.085,67.085,3.3238,2.927e-05,3291.7
1,7,4,0.87,20,5,0.22371,6.7694,292.4,3875.1,0.11857,0.047874,0.048756,0.84898,724.25,2.6791e+09,0.0051964,0.015233,56.439,19.593,5.5791,42.008,0.96882,1.8777e-05,1194.1
1,7,5,1.04,39.2,5,0.13822,4.0981,178.13,2471.4,0.088757,0.034978,0.018266,0.42037,276.69,1.3325e+09,0.0031154,0.0098295,47.748,16.015,3.8806,29.71,0.4302,1.5726e-05,511.29
